Id,ActivityHour,StepTotal,Date,Hour
1503960366,2016-04-12 00:00:00,373,12/04/2016,0
1503960366,2016-04-12 01:00:00,160,12/04/2016,1
1503960366,2016-04-12 02:00:00,151,12/04/2016,2
1503960366,2016-04-12 03:00:00,0,12/04/2016,3
1503960366,2016-04-12 04:00:00,0,12/04/2016,4
1503960366,2016-04-12 05:00:00,0,12/04/2016,5
1503960366,2016-04-12 06:00:00,0,12/04/2016,6
1503960366,2016-04-12 07:00:00,0,12/04/2016,7
1503960366,2016-04-12 08:00:00,250,12/04/2016,8
1503960366,2016-04-12 09:00:00,1864,12/04/2016,9
1503960366,2016-04-12 10:00:00,676,12/04/2016,10
1503960366,2016-04-12 11:00:00,360,12/04/2016,11
1503960366,2016-04-12 12:00:00,253,12/04/2016,12
1503960366,2016-04-12 13:00:00,221,12/04/2016,13
1503960366,2016-04-12 14:00:00,1166,12/04/2016,14
1503960366,2016-04-12 15:00:00,2063,12/04/2016,15
1503960366,2016-04-12 16:00:00,344,12/04/2016,16
1503960366,2016-04-12 17:00:00,489,12/04/2016,17
1503960366,2016-04-12 18:00:00,1386,12/04/2016,18
1503960366,2016-04-12 19:00:00,558,12/04/2016,19
1503960366,2016-04-12 20:00:00,1733,12/04/2016,20
1503960366,2016-04-12 21:00:00,684,12/04/2016,21
1503960366,2016-04-12 22:00:00,89,12/04/2016,22
1503960366,2016-04-12 23:00:00,338,12/04/2016,23
1503960366,2016-04-13 00:00:00,144,13/04/2016,0
1503960366,2016-04-13 01:00:00,0,13/04/2016,1
1503960366,2016-04-13 02:00:00,0,13/04/2016,2
1503960366,2016-04-13 03:00:00,36,13/04/2016,3
1503960366,2016-04-13 04:00:00,0,13/04/2016,4
1503960366,2016-04-13 05:00:00,0,13/04/2016,5
1503960366,2016-04-13 06:00:00,0,13/04/2016,6
1503960366,2016-04-13 07:00:00,126,13/04/2016,7
1503960366,2016-04-13 08:00:00,275,13/04/2016,8
1503960366,2016-04-13 09:00:00,1679,13/04/2016,9
1503960366,2016-04-13 10:00:00,295,13/04/2016,10
1503960366,2016-04-13 11:00:00,524,13/04/2016,11
1503960366,2016-04-13 12:00:00,486,13/04/2016,12
1503960366,2016-04-13 13:00:00,302,13/04/2016,13
1503960366,2016-04-13 14:00:00,1577,13/04/2016,14
1503960366,2016-04-13 15:00:00,493,13/04/2016,15
1503960366,2016-04-13 16:00:00,299,13/04/2016,16
