Id,ActivityDay,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance_x,ModeratelyActiveDistance_x,LightActiveDistance_x,SedentaryActiveDistance_x,VeryActiveMinutes_x,FairlyActiveMinutes_x,LightlyActiveMinutes_x,SedentaryMinutes_x,Calories_x,Calories_y,SedentaryMinutes_y,LightlyActiveMinutes_y,FairlyActiveMinutes_y,VeryActiveMinutes_y,SedentaryActiveDistance_y,LightActiveDistance_y,ModeratelyActiveDistance_y,VeryActiveDistance_y,StepTotal
1503960366,13/04/2016,10735,7.0,7.0,0.0,1.6,0.7,4.7,0.0,21,19,217,776,1797,1797,776,217,19,21,0.0,4.7,0.7,1.6,10735
1503960366,14/04/2016,10460,6.7,6.7,0.0,2.4,0.4,3.9,0.0,30,11,181,1218,1776,1776,1218,181,11,30,0.0,3.9,0.4,2.4,10460
1503960366,15/04/2016,9762,6.3,6.3,0.0,2.1,1.3,2.8,0.0,29,34,209,726,1745,1745,726,209,34,29,0.0,2.8,1.3,2.1,9762
1503960366,16/04/2016,12669,8.2,8.2,0.0,2.7,0.4,5.0,0.0,36,10,221,773,1863,1863,773,221,10,36,0.0,5.0,0.4,2.7,12669
1503960366,17/04/2016,9705,6.5,6.5,0.0,3.2,0.8,2.5,0.0,38,20,164,539,1728,1728,539,164,20,38,0.0,2.5,0.8,3.2,9705
1503960366,18/04/2016,13019,8.6,8.6,0.0,3.3,0.6,4.7,0.0,42,16,233,1149,1921,1921,1149,233,16,42,0.0,4.7,0.6,3.3,13019
1503960366,19/04/2016,15506,9.9,9.9,0.0,3.5,1.3,5.0,0.0,50,31,264,775,2035,2035,775,264,31,50,0.0,5.0,1.3,3.5,15506
1503960366,20/04/2016,10544,6.7,6.7,0.0,2.0,0.5,4.2,0.0,28,12,205,818,1786,1786,818,205,12,28,0.0,4.2,0.5,2.0,10544
1503960366,21/04/2016,9819,6.3,6.3,0.0,1.3,0.3,4.7,0.0,19,8,211,838,1775,1775,838,211,8,19,0.0,4.7,0.3,1.3,9819
1503960366,22/04/2016,12764,8.1,8.1,0.0,4.8,1.1,2.2,0.0,66,27,130,1217,1827,1827,1217,130,27,66,0.0,2.2,1.1,4.8,12764
